name,country,gender,boulder_points,lead_points,combined_points
selma ELHADJ MIMOUNE,FRA,female,463.5,,
chloe CAULIER,BEL,female,449.0,80.5,414.0
maya STASIUK,AUS,female,447.1,41.0,449.1
franziska STERRER,AUT,female,408.5,119.0,402.5
lily ABRIAT,FRA,female,397.0,,
mashiro KUZUU,JPN,female,380.0,,
mia KRAMPL,SLO,female,378.0,1563.0,1871.0
giulia MEDICI,ITA,female,359.7,,
martina BURŠÍKOVÁ,SVK,female,333.5,32.0,326.0
roxana WIENAND,GER,female,330.5,38.0,291.0
maya DREAMER,ISR,female,330.5,,
natsumi HIRANO,JPN,female,326.5,,
valentina AGUADO,ARG,female,305.5,194.5,461.5
molly THOMPSON-SMITH,GBR,female,303.0,346.0,771.0
lea KEMPF,AUT,female,286.8,,
jain KIM,KOR,female,283.0,1133.0,1133.0
lucy GARLICK,GBR,female,282.8,,
cloe COSCOY,USA,female,270.8,,
andrea KÜMIN,SUI,female,264.3,,
sara COPAR,SLO,female,264.0,1194.5,1024.0
flavy COHAUT,FRA,female,252.0,,
lucile SAUREL,FRA,female,238.0,,
yejin JUNG,KOR,female,230.5,,
nekaia SANDERS,USA,female,226.0,,
manon HILY,FRA,female,223.0,916.5,845.5
stasa GEJO,SRB,female,216.0,125.0,216.0
miku ISHII,JPN,female,195.8,,
zoe PEETERMANS,GBR,female,189.0,,
stella GIACANI,ITA,female,184.0,,
johanna FÄRBER,AUT,female,180.0,,
jacqueline HO,CAN,female,172.0,,
summer FRASER,AUS,female,167.0,,
florence GRÜNEWALD,GER,female,163.8,,
michaela SMETANOVA,CZE,female,152.0,421.0,454.0
hélène JANICOT,FRA,female,151.0,1381.0,1101.0
sandra LETTNER,AUT,female,149.8,,
vita LUKAN,SLO,female,146.0,889.0,816.0
manami YAMA,JPN,female,138.0,,
babette ROY,CAN,female,137.5,18.0,155.5
claire CHEFFINGS,AUS,female,132.0,,
yejoo SEO,KOR,female,127.0,121.0,189.0
flora OBLASSER,AUT,female,121.0,1590.0,1431.0
lisa KLEM,NED,female,118.7,,
anna LECHNER,GER,female,116.5,,
amber SCHIFFELEERS,NED,female,116.0,,
ingrid KINDLIHAGEN,NOR,female,115.0,9.0,149.0
gayeon CHO,KOR,female,112.5,105.0,217.5
geila MACIÀ MARTÍN,ESP,female,112.0,468.0,566.0
kaho MURAKOSHI,JPN,female,111.0,,
rose WELLER,AUS,female,106.0,,
petra KLINGLER,SUI,female,101.0,101.0,101.0
hannah MEUL,GER,female,97.0,192.0,192.0
anna KELLEY,CAN,female,95.5,,
alejandra CONTRERAS,CHI,female,95.0,14.0,109.0
yui SUEZAWA,JPN,female,95.0,,
vanessa si yinn TENG,SGP,female,94.0,34.0,120.0
natalie GOH SIHUI,SGP,female,90.5,7.0,97.5
helen GILLETT,USA,female,88.5,,
clea HALL,AUS,female,85.0,,
ryu NAKAGAWA,JPN,female,84.0,84.0,84.0
gayeong OH,KOR,female,82.0,111.0,172.0
valentine MANGIN,FRA,female,82.0,,
alannah YIP,CAN,female,81.0,60.0,81.0
yael TAUB,ISR,female,79.5,,
ting-chen YAO,TPE,female,77.0,15.0,92.0
judith CARROLL,AUS,female,69.0,,
cheuk-kei WONG,HKG,female,69.0,,
julija KRUDER,SLO,female,68.0,,
maya VÁSQUEZ,CHI,female,66.5,7.0,73.5
evangelina BRIGGS,CAN,female,65.0,,
xu LITING,SGP,female,63.0,,
alma SAPIR HALEVI,ISR,female,63.0,,
yajun HUANG,CHN,female,58.5,,
hung ying LEE,TPE,female,58.0,63.0,121.0
ada KARLSBRUN,ISR,female,57.0,,
lianet CASTILLO,VEN,female,57.0,,
abi LANCE,AUS,female,56.0,,
emily SCOTT,AUS,female,53.0,17.0,70.0
sol SA,KOR,female,52.0,52.0,52.0
ziqi elly GAO,HKG,female,49.0,,
anastasiia KOBETS,UKR,female,48.7,308.0,356.7
elnaz REKABI,IRI,female,48.0,48.0,48.0
ema GALEOVA,CZE,female,46.8,12.0,81.8
maeve BRADBURY,AUS,female,44.0,,
