name,country,boulder_points,lead_points
camille POUGET,FRA,0.0,1325.0
rosa REKAR,SLO,0.0,1291.0
tomona TAKAO,JPN,0.0,1200.0
heloïse DOUMONT,BEL,0.0,1012.0
julia FISER,AUT,0.0,573.0
ina PLASSOUX DJIGA,FRA,0.0,471.0
lana SKUSEK,SLO,0.0,357.0
eva maria HAMMELMÜLLER,AUT,0.0,301.0
juha KIM,KOR,0.0,257.0
olivia MA,USA,0.0,200.0
liv EGLI,SUI,0.0,165.5
ilaria SCOLARIS,ITA,0.0,145.5
momoka MIYAJIMA,JPN,0.0,136.0
martina DEMMEL,GER,0.0,113.0
rebecca FRANGOS,CAN,0.0,103.5
ignacia MELLADO QUINTEROS,CHI,0.0,103.0
seuran HAN,KOR,0.0,88.7
camila GONZALEZ,CHI,0.0,86.0
sukma LINTANG CAHYANI,INA,0.0,84.0
julia CHANOURDIE,FRA,0.0,79.0
nolwenn ARC,FRA,0.0,73.0
cedar PIDGEON,CAN,0.0,70.0
ai TAKEUCHI,JPN,0.0,49.0
saray GARCIA,COL,0.0,48.0
melina COSTANZA,USA,0.0,47.0
chaeyeong KIM,KOR,0.0,42.0
magdalena KOMPEIN,AUT,0.0,42.0
claudia GHISOLFI,ITA,0.0,38.5
noé LOOSER,SUI,0.0,38.0
meije LERONDEL,FRA,0.0,35.0
käthe ATKINS,GER,0.0,34.0
tereza SIRUCKOVA,CZE,0.0,33.7
clotilde PFISTER,FRA,0.0,30.5
anika DEUBLER,AUT,0.0,30.0
emma BERNHARD,GER,0.0,25.0
isabella GARCIA,COL,0.0,24.0
joanna NEAME,GBR,0.0,19.0
nika POTAPOVA,UKR,0.0,18.0
lana BONNAL,FRA,0.0,17.0
julia BENACH ZUBERO,ESP,0.0,17.0
kintana ILTIS,FRA,0.0,15.0
lana GORIC,SLO,0.0,14.0
lucie WATILLON,BEL,0.0,14.0
esti TWEG,AUS,0.0,12.0
zala MLAKAR STARIC,SLO,0.0,11.0
yongshan HUANG,CHN,0.0,11.0
sarah FEICHTENSCHLAGER,AUT,0.0,10.0
joëlle NIEDERBERGER,SUI,0.0,10.0
rowaida ALERWI,KSA,0.0,9.0
bianca DE MAGALHAES DE CASTRO,BRA,0.0,8.0
victoria YSRAEL,GUM,0.0,8.0
alyssa KEANINI,USA,0.0,7.0
jingjing MAO,CHN,0.0,7.0
zihan HUANG,CHN,0.0,7.0
tseng-shun WONG,HKG,0.0,6.0
molly DREHER,CAN,0.0,6.0
olivia OGIER,USA,0.0,6.0
maría fernanda GONZÁLEZ RÁMIREZ,MEX,0.0,5.0
hei kiu heidi WONG,HKG,0.0,5.0
federica MABBONI,ITA,0.0,4.0
quinn MASON,USA,0.0,2.0
sára ŠIMEKOVÁ,SVK,0.0,2.0
danai VALSAMIDI,GRE,0.0,1.0
