name,url,highest_grade,count_8c_plus,avg_grade_first5
Julija Kruder,https://www.8a.nu/user/julija-kruder,19,,16.3
Lianet Castillo,https://www.8a.nu/user/lianet-castillo,17,,14.28
Sol Sa,https://www.8a.nu/user/sol-sa,23,,20.5
Ema Galeova,https://www.8a.nu/user/ema-galeova,21,,18.42
Analise Van Hoang,https://www.8a.nu/user/analise-van-hoang,19,,18.33
Noa Shiran,https://www.8a.nu/user/noa-shiran,23,,23.0
Aleksandra Totkova,https://www.8a.nu/user/aleksandra-b,11,,7.93
Marian Kiara Luna Micheri,https://www.8a.nu/user/marian-kreyer,19,,15.89
Margarita Agambayeva,https://www.8a.nu/user/marga-rita,19,,16.58
Yali Wei,https://www.8a.nu/user/lei-wei,15,,11.78
Tegwen Oates,https://www.8a.nu/user/tegwen-oates,13,,12.67
Svana Bjarnason,https://www.8a.nu/user/svana-bjarnason-b606c,17,,14.4
Iziar Martínez Almendros,https://www.8a.nu/user/iziar-martinez,25,1.0,21.08
Pernille Tvedt,https://www.8a.nu/user/pernille-s-1bc25,4,,4.0
Ella Fisher,https://www.8a.nu/user/daniel-fisher,24,1.0,20.98
Sunniva Eik Haave,https://www.8a.nu/user/sunniva-haave,18,,14.12
Lynn Van Der Meer,https://www.8a.nu/user/lynn-van-der-meer,23,,19.73
Marketa Janosova,https://www.8a.nu/user/marketa-janosova,23,,19.78
Katharina Bergmann,https://www.8a.nu/user/katharina-s,14,,10.69
Mattea Pötzi,https://www.8a.nu/user/mattea-poetzi,24,1.0,20.72
Camille Pouget,https://www.8a.nu/user/camille-pouget,23,,20.8
Julia Fiser,https://www.8a.nu/user/julia-fiser,24,1.0,20.72
Lana Skusek,https://www.8a.nu/user/lana-skusek,23,,20.57
Eva Maria Hammelmüller,https://www.8a.nu/user/eva-maria,8,,5.55
Martina Demmel,https://www.8a.nu/user/martina-demmel,25,16.0,21.79
Melina Costanza,https://www.8a.nu/user/melina-costanza-7pvyo,19,,19.0
Claudia Ghisolfi,https://www.8a.nu/user/claudia-ghisolfi,25,3.0,21.78
Noé Looser,https://www.8a.nu/user/noe-looser,23,,19.93
Tereza Siruckova,https://www.8a.nu/user/tereza-siruckova,20,,17.56
Nika Potapova,https://www.8a.nu/user/nika-potapova,25,1.0,21.47
Kintana Iltis,https://www.8a.nu/user/kintana-iltis,21,,18.14
Lucie Watillon,https://www.8a.nu/user/lucie-watillon,22,,19.41
Olivia Ogier,https://www.8a.nu/user/olivia-ogier-nu9vm,23,,19.83
María Fernanda González Rámirez,https://www.8a.nu/user/fernanda-gonzalez,20,,17.25
Quinn Mason,https://www.8a.nu/user/quinn-mason,22,,18.78
Danai Valsamidi,https://www.8a.nu/user/danai-valsamidi,18,,15.41
