name,country,boulder_points,lead_points
donovan VICENTE,GUM,4.2,0.0
muhammad akif nukman NAZRILAZDIN,MAS,4.2,0.0
axel LINDFORS,FIN,4.0,0.0
william FLORES,PUR,4.0,8.0
yago GANCEDO,MEX,3.3,0.0
rolands RUGENS,LAT,3.0,0.0
simon POTUCEK,CZE,3.0,50.5
owen PALMER,AUS,3.0,0.0
roman SIVAKOV,LTU,3.0,0.0
gianfranco DIAZ,VEN,3.0,0.0
ming shu GAN,TPE,3.0,0.0
muhammad ayman FIRAS,MAS,3.0,0.0
albin MEYER,SWE,2.0,11.0
suraj SINGH,IND,2.0,0.0
meritas BABILAS,LTU,2.0,0.0
tuukka SIMONEN,FIN,2.0,0.0
mateus RODRIGUES BELLOTTO,BRA,2.0,0.0
mark SCANLON,IRL,1.0,0.0
garcía fernández del valle PEDRO,MEX,1.0,0.0
joshua kyri STELIOU,CYP,1.0,0.0
filip MATEJIČKA,SVK,1.0,0.0
per RAVLO-CASPERSEN,NOR,1.0,3.0
shion OMATA,JPN,0.0,3190.0
zento MURASHITA,JPN,0.0,2990.0
taisei HOMMA,JPN,0.0,2235.0
shuta TANAKA,JPN,0.0,2002.0
ao YURIKUSA,JPN,0.0,1935.0
max BERTONE,FRA,0.0,1743.0
yuta IMAIZUMI,JPN,0.0,1483.0
kibeom KWON,KOR,0.0,1345.0
masahiro HIGUCHI,JPN,0.0,964.0
sebastian HALENKE,GER,0.0,726.5
mototaka ISHIZU,JPN,0.0,724.0
giovanni PLACCI,ITA,0.0,660.0
nino GRÜNENFELDER,SUI,0.0,520.0
ties VANCRAEYNEST,BEL,0.0,497.0
philipp MARTIN,GER,0.0,421.0
christoph HANKE,GER,0.0,405.0
jules MARCHALAND,FRA,0.0,339.0
hyunbin MIN,KOR,0.0,237.0
shinyeong YUN,KOR,0.0,220.0
declan OSGOOD,USA,0.0,190.7
jordi POLES,FRA,0.0,130.5
ross FULKERSON,USA,0.0,130.0
max DINGER,GER,0.0,98.0
musauwir MUSAUWIR,INA,0.0,95.0
fahim KHANDEL,AUS,0.0,92.0
jesse GRUPPER,USA,0.0,84.0
cruz PADILLA,USA,0.0,82.0
lucas DUFROS,FRA,0.0,67.0
arsène DUVAL,FRA,0.0,64.0
hakjin LEE,KOR,0.0,56.0
alejo SUTER,ARG,0.0,50.0
jimi SMYRK,AUS,0.0,50.0
leo AVEZOU,FRA,0.0,50.0
felix MADER,AUT,0.0,48.0
hyunseung NOH,KOR,0.0,42.0
dimitri FLICK,SUI,0.0,41.0
nao MONCHOIS,FRA,0.0,39.0
radin FOROUGHIAN,IRI,0.0,37.0
davide marco COLOMBO,ITA,0.0,37.0
leyroy HARLEY,AUS,0.0,35.0
darius RÂPĂ,ROU,0.0,35.0
lovro CREP,SLO,0.0,34.5
mikel asier LINACISORO MOLINA,ESP,0.0,32.0
guoqing NI,CHN,0.0,32.0
milan PRESKAR,SLO,0.0,28.0
matias gabriel MENDOZA,ARG,0.0,25.0
liam ULLMAN,AUS,0.0,21.0
león PINO,CHI,0.0,20.0
rhys CONLON,GBR,0.0,15.0
sanghyeon HAN,KOR,0.0,15.0
johannes HOFHERR,AUT,0.0,14.7
gorazd JUREKOVIC,SLO,0.0,12.5
maël GRENIER,FRA,0.0,11.0
elliot ERIKSSON,SWE,0.0,11.0
seyedmohammadzaniar EBRAHIMI,IRI,0.0,10.0
andy BROWN,AUS,0.0,10.0
renan DENARDO,BRA,0.0,9.0
poksakon CHOTIKKRAI,THA,0.0,9.0
kindar MCNAMEE,CAN,0.0,9.0
muhammed oğuz KAĞANOĞLU,TUR,0.0,9.0
joseph WALMSLEY,GBR,0.0,8.0
mel JANSE VAN RENSBURG,RSA,0.0,8.0
alexey PANFILOV,KAZ,0.0,8.0
luka JERMAN,SLO,0.0,7.5
emilio FLORES,GUA,0.0,7.0
hugo PARMENTIER,FRA,0.0,7.0
nidhal DAQNAH,KSA,0.0,7.0
yuping MEI,CHN,0.0,6.0
nima SANGZHU,CHN,0.0,6.0
mohammad GARAKANI,IRI,0.0,6.0
ege DUMAN,TUR,0.0,6.0
allen LACTAOEN,GUM,0.0,6.0
stanley AU,GUM,0.0,6.0
samo GOLOB,SLO,0.0,5.0
gianstefano DI NINO,VEN,0.0,4.0
mark BRAND,NED,0.0,4.0
michail VOLYRAKIS,GRE,0.0,3.0
eliáš KYSELA,SVK,0.0,3.0
illia BAKHMET-SMOLENSKYI,UKR,0.0,3.0
juan sebastian SANCHEZ MARTIN,COL,0.0,2.0
gergő VÁLYI,HUN,0.0,2.0
marco BAUHOFER,AUT,0.0,1.0
mykyta MYRONENKO,UKR,0.0,1.0
