name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
Dante Caballero,CHI,male,18.0,5.0,23.0,,,
Samuel Carlos Da Silva,BRA,male,17.5,10.0,27.5,,,
Lucas Trandafir,GER,male,17.5,,,23.0,,20.33
Nimród Sebestyén Tusnády,HUN,male,17.0,17.3,20.3,,,
Tomer Yakobovitch,ISR,male,17.0,,,,,
Ned Middlehurst,AUS,male,17.0,,,,,
Samuel Butterworth,GBR,male,16.0,,,,,
Beomjin Park,KOR,male,16.0,,,,,
Zach Galla,USA,male,16.0,,,21.0,,19.13
Dragoș Gabriel Flueraru,ROU,male,16.0,,,,,
Ali Salimian,IRI,male,15.9,,,,,
Seungchan Choi,KOR,male,15.3,11.0,26.3,,,
James Pope,GBR,male,15.0,15.0,15.0,16.0,,12.83
Sungjoon Chae,KOR,male,14.8,,,,,
Julian Wimmer,AUT,male,14.0,,,21.0,,18.22
Ilja Auersperg,AUT,male,13.5,,,24.0,1.0,21.15
Christopher Cosser,RSA,male,13.5,,,25.0,1.0,21.05
Călin Enache,ROU,male,13.3,,,,,
Felipe Ho Foganholo,BRA,male,12.0,22.5,34.5,25.0,4.0,22.19
Finlay Cate,NZL,male,12.0,,,,,
Peter Kuric,SVK,male,11.5,5.0,16.5,25.0,3.0,21.5
Pietro Biagini,ITA,male,11.5,,,24.0,2.0,21.11
Leonardo Magallanes Tejada,MEX,male,11.0,,,,,
Qun Tao Ke,MAS,male,11.0,21.0,32.0,,,
Tzu-Yu Chou,TPE,male,11.0,10.0,21.0,,,
Jonas Körner,GER,male,10.5,,,9.0,,9.0
Wan Tong Lok,MAC,male,10.3,11.0,21.3,,,
Sungbo Seo,KOR,male,10.0,,,,,
Gerald Bayo Verosil,SGP,male,10.0,,,,,
Theis Lindegren Elfenbein,DEN,male,9.0,,,,,
Mikel Paz Y Puente Hofmann,MEX,male,9.0,,,,,
Alexander T Cvetkovski,AUS,male,9.0,,,,,
Dohyeon Kim,KOR,male,8.7,,,,,
Julian Schrittwieser,AUT,male,8.0,,,,,
Michael Piccolruaz,ITA,male,7.4,,,25.0,12.0,22.09
Taher Alhaddad,KSA,male,7.2,8.0,15.2,,,
Mickael Mawem,FRA,male,7.0,7.0,,,,
Kenu Puerta Wong,PER,male,7.0,,,,,
Nathan Whaley,GBR,male,6.0,,,,,
Alexandre Noël,BEL,male,6.0,8.0,14.0,,,
Nathan Sato,USA,male,6.0,84.0,90.0,23.0,,20.32
Tyler Bergin,AUS,male,6.0,,,,,
Quitugua Michael,GUM,male,5.8,,,,,
Aman Verma,IND,male,5.8,9.0,14.8,,,
Vin Sukapanpotharam,THA,male,5.8,,,22.0,,18.8
Sulaiman Alyahya,KSA,male,5.8,,,,,
Chuluunbaatar Mandakhbayar,MGL,male,5.8,7.0,12.8,,,
Jakub Zietek,POL,male,5.0,,,,,
Gabriel Lancheros Poveda,COL,male,5.0,,,,,
Joshua Gerhardt,USA,male,5.0,,,,,
Corentin Laporte,BEL,male,4.5,5.0,9.5,,,
Yongchen Chen,CHN,male,4.5,7.0,11.5,,,
Jair Octavio Moreno Montoya,MEX,male,4.5,6.0,10.5,,,
Emil Zimmermann,GER,male,4.5,,,,,
Jan Stipek,CZE,male,4.3,142.5,146.8,25.0,2.0,21.82
Christos Sofokleous,CYP,male,4.2,7.0,11.2,,,
Muhammad Akif Nukman Nazrilazdin,MAS,male,4.2,,,,,
Donovan Vicente,GUM,male,4.2,,,,,
Azat Maikotov,KAZ,male,4.2,8.0,12.2,,,
Axel Lindfors,FIN,male,4.0,,,,,
William Flores,PUR,male,4.0,8.0,12.0,22.0,,18.8
Vishak Oommen Shanker,IND,male,3.5,,,,,
Owen Palmer,AUS,male,3.0,,,,,
Simon Potucek,CZE,male,3.0,39.5,38.5,,,
Rolands Rugens,LAT,male,3.0,,,20.0,,15.5
Roman Sivakov,LTU,male,3.0,,,,,
Gianfranco Diaz,VEN,male,3.0,,,,,
Yousef Fatani,KSA,male,3.0,,,,,
Man Hou Lam,MAC,male,3.0,,,,,
