name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
giorgio TOMATIS,ITA,male,18.0,554.5,398.0,9b,20,23.12
lucas TRANDAFIR,GER,male,17.5,0.0,0.0,8c,0,20.33
tomer YAKOBOVITCH,ISR,male,17.0,0.0,0.0,0,0,0.0
ned MIDDLEHURST,AUS,male,17.0,0.0,0.0,0,0,0.0
nimród sebestyén TUSNÁDY,HUN,male,17.0,17.3,20.3,0,0,0.0
zach GALLA,USA,male,16.0,0.0,0.0,8b,0,19.13
dragoș gabriel FLUERARU,ROU,male,16.0,0.0,0.0,0,0,0.0
joaquin URRUTIA,CHI,male,15.5,23.0,38.5,0,0,0.0
seungchan CHOI,KOR,male,15.3,11.0,26.3,0,0,0.0
james POPE,GBR,male,15.0,15.0,15.0,7b+,0,12.83
timo UZNIK,AUT,male,14.8,166.0,180.8,8c,0,20.46
wan tong LOK,MAC,male,14.8,11.0,25.8,0,0,0.0
sungjoon CHAE,KOR,male,14.8,0.0,0.0,0,0,0.0
ilja AUERSPERG,AUT,male,13.5,0.0,0.0,8c,0,19.77
christopher COSSER,RSA,male,13.5,0.0,0.0,8c,0,23.0
călin ENACHE,ROU,male,13.3,0.0,0.0,0,0,0.0
ali SALIMIAN,IRI,male,13.0,5.0,18.0,0,0,0.0
finlay CATE,NZL,male,12.0,0.0,0.0,0,0,0.0
peter KURIC,SVK,male,11.5,5.0,16.5,9a,3,21.5
pietro BIAGINI,ITA,male,11.5,0.0,0.0,8c+,2,21.11
jonas KÖRNER,GER,male,10.5,0.0,0.0,6b,0,9.0
qun tao KE,MAS,male,10.3,26.0,33.3,0,0,0.0
sungbo SEO,KOR,male,10.0,0.0,0.0,0,0,0.0
ziqi XU,CHN,male,10.0,0.0,0.0,0,0,0.0
cheung-chi shoji CHAN,HKG,male,10.0,35.5,45.5,0,0,0.0
theis lindegren ELFENBEIN,DEN,male,9.0,0.0,0.0,0,0,0.0
alexander t CVETKOVSKI,AUS,male,9.0,0.0,0.0,0,0,0.0
dohyeon KIM,KOR,male,8.7,0.0,0.0,0,0,0.0
yongchen CHEN,CHN,male,8.5,26.0,34.5,0,0,0.0
hossein FAMILROHANI,IRI,male,8.5,6.0,14.5,8a,0,16.67
julian SCHRITTWIESER,AUT,male,8.0,0.0,0.0,0,0,0.0
christian WAGNER,CHI,male,7.7,0.0,0.0,7b+,0,13.58
auswin AUEAREECHIT,THA,male,7.0,47.0,54.0,8c,0,23.0
tzu-yu CHOU,TPE,male,7.0,15.0,22.0,0,0,0.0
lukas MOKROLUSKY,CZE,male,6.5,15.5,22.0,8c,0,20.33
nathan SATO,USA,male,6.0,84.0,90.0,8c,0,20.32
tyler BERGIN,AUS,male,6.0,0.0,0.0,0,0,0.0
alexandre NOËL,BEL,male,6.0,8.0,14.0,0,0,0.0
quitugua MICHAEL,GUM,male,5.8,0.0,0.0,0,0,0.0
vin SUKAPANPOTHARAM,THA,male,5.8,0.0,0.0,8b+,0,18.8
aman VERMA,IND,male,5.8,9.0,14.8,0,0,0.0
sulaiman ALYAHYA,KSA,male,5.8,0.0,0.0,0,0,0.0
chuluunbaatar MANDAKHBAYAR,MGL,male,5.8,7.0,12.8,0,0,0.0
kenu PUERTA WONG,PER,male,5.0,0.0,0.0,0,0,0.0
thor VILLEGAS GARCÍA,MEX,male,5.0,0.0,0.0,0,0,0.0
felipe HO FOGANHOLO,BRA,male,5.0,22.5,27.5,9a,4,22.19
victor BAUDRAND,CAN,male,5.0,39.3,44.3,8c+,2,21.64
bingtang WANG,CHN,male,5.0,0.0,0.0,0,0,0.0
jakub ZIETEK,POL,male,5.0,0.0,0.0,0,0,0.0
julian WIMMER,AUT,male,5.0,0.0,0.0,8b,0,18.22
matthew RODRIGUEZ,CAN,male,5.0,0.0,0.0,0,0,0.0
jair octavio MORENO MONTOYA,MEX,male,4.5,6.0,10.5,0,0,0.0
tim WÜRTHNER,GER,male,4.5,0.0,0.0,8b+,0,20.0
corentin LAPORTE,BEL,male,4.5,5.0,9.5,0,0,0.0
jan STIPEK,CZE,male,4.3,142.5,146.8,9a,2,21.82
azat MAIKOTOV,KAZ,male,4.2,8.0,12.2,0,0,0.0
christos SOFOKLEOUS,CYP,male,4.2,7.0,11.2,0,0,0.0
muhammad akif nukman NAZRILAZDIN,MAS,male,4.2,0.0,0.0,0,0,0.0
donovan VICENTE,GUM,male,4.2,0.0,0.0,0,0,0.0
taher ALHADDAD,KSA,male,4.2,8.0,12.2,0,0,0.0
axel LINDFORS,FIN,male,4.0,0.0,0.0,0,0,0.0
william FLORES,PUR,male,4.0,8.0,12.0,8b+,0,18.8
samuel carlos DA SILVA,BRA,male,3.5,10.0,13.5,0,0,0.0
